rights  


RoleTable
---------
Name                        ACL  Bandwidth                                                          ACL List                                                                                                                                                                                              Type
Domain-Computer             146  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-Domain-Computer-sacl/,deny-SSDP-and-UPnP-acl/,deny-dhcp-server-acl/,deny-mDNS-acl/,deny-Facetime-acl/,bccc-allow-internal-acl/,auth-guest-acl/,drop-and-log-acl/                   User
OutdoorSignage              133  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-OutdoorSignage-sacl/,allowall/                                                                                                                                                     User
RemoteAP                    130  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-RemoteAP-sacl/,remote-AP-access/                                                                                                                                                   User
Roku                        141  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-Roku-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                                         User
Staff                       147  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-Staff-sacl/,deny-SSDP-and-UPnP-acl/,deny-mDNS-acl/,deny-Facetime-acl/,bccc-allow-internal-acl/,auth-guest-acl/,dns-acl/,bccc-allow-external-acl/,drop-and-log-acl/                 User
Student                     164  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-Student-sacl/,deny-SSDP-and-UPnP-acl/,deny-mDNS-acl/,deny-dhcp-server-acl/,student-allow-internal-acl/,dhcp-acl/,Student-allow-external-aclnew/,auth-guest-acl/,drop-and-log-acl/  User
WebCAM                      165  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-WebCAM-sacl/,deny-dhcp-server-acl/,allowall/                                                                                                                                       User
ap-role                     6    Up: No Limit,Dn: No Limit                                          ra-guard/,control/,ap-acl/,v6-control/,v6-ap-acl/                                                                                                                                                     System
authenticated               158  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-authenticated-sacl/,ra-guard/,allowall/,v6-allowall/                                                                                                                               User
cp-auth-guest               166  Up: Guest-BW-20M (per role),Dn: Guest-BW-20M (per role)            global-sacl/,apprf-cp-auth-guest-sacl/,cplogout/,deny-mDNS-acl/,guest-logon-acl/,allow-guest-internal-acl/,deny-guest-internal-acl/,auth-guest-acl/,drop-and-log-acl/                                 User
cp-auth-guest2              127  Up: Guest-BW-50M (per role),Dn: Guest-BW-50M (per role)            global-sacl/,apprf-cp-auth-guest2-sacl/,cplogout/,deny-mDNS-acl/,guest-logon-acl/,allow-guest-internal-acl/,deny-guest-internal-acl/,auth-guest-acl/,drop-and-log-acl/                                User
cp-guest-logon              139  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-cp-guest-logon-sacl/,captiveportal/,guest-logon-acl/,allow-guest-internal-acl/,deny-guest-internal-acl/                                                                            User
cpbase                      153  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-cpbase-sacl/                                                                                                                                                                       User
default-iap-user-role       10   Up: No Limit,Dn: No Limit                                          allowall/                                                                                                                                                                                             User
default-via-role            124  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-default-via-role-sacl/,allowall/                                                                                                                                                   User
default-vpn-role            150  Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-default-vpn-role-sacl/,ra-guard/,allowall/,v6-allowall/                                                                                                                            User
denyall                     168  Up: No Limit,Dn: No Limit                                                                                                                                                                                                                                                User
guest                       4    Up: No Limit,Dn: No Limit                                          global-sacl/,apprf-guest-sacl/,ra-guard/,http-acl/,https-acl/,dhcp-acl/,icmp-acl/,dns-acl/,v6-http-acl/,v6-https-acl/,v6-dhcp-acl/,v6-icmp-acl/,v6-dns-acl/                                           User
guest-logon                 9    Up: No Limit,Dn: No Limit                                          ra-guard/,logon-control/,captiveportal/,v6-logon-control/,captiveportal6/                                                                                                                             User
